tpep_pickup_datetime,tpep_dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
00:07.0,16:36.0,40.72400665,-73.996315,40.74216843,-74.00392151
00:07.0,16:10.0,40.7403717,-74.00567627,40.76145935,-73.96662903
00:07.0,08:39.0,40.75711441,-73.98265839,40.77119064,-73.9540329
00:07.0,13:38.0,40.75651932,-73.97410583,40.74257278,-73.99687958
00:08.0,12:50.0,40.71816635,-73.95526123,40.69401932,-73.96898651
00:08.0,05:11.0,40.76311111,-73.98563385,40.7773819,-73.98204803
00:09.0,22:31.0,40.72673035,-73.98296356,40.77067566,-73.99191284
00:09.0,15:53.0,40.72268677,-73.98816681,40.74405289,-74.00672913
00:09.0,04:06.0,40.73130798,-73.9903717,40.74049377,-73.98500061
00:09.0,10:14.0,40.75049973,-73.98680878,40.73986816,-74.00695038
00:10.0,15:14.0,40.80541229,-73.96208954,40.75731659,-73.99007416
00:10.0,05:24.0,40.75787735,-73.96624756,40.74576569,-73.9778595
00:10.0,09:03.0,40.77850723,-73.98166656,40.77674103,-73.95544434
00:10.0,08:54.0,40.73545074,-73.99822998,40.75907898,-73.98379517
00:10.0,17:47.0,40.71770096,-73.94926453,40.67770386,-73.97280121
00:10.0,07:25.0,40.76596069,-73.99451447,40.7775116,-73.9768219
00:10.0,08:49.0,40.75716019,-73.98337555,40.77610779,-73.9776535
00:11.0,17:09.0,40.75455093,-73.97993469,40.7215538,-74.00338745
00:11.0,09:45.0,40.78846741,-73.97070313,40.76482773,-73.96459198
00:11.0,13:41.0,40.70188904,-74.01265717,40.72006989,-73.98834991
00:11.0,03:37.0,40.7991333,-73.96840668,40.80262375,-73.96488953
00:11.0,20:48.0,40.70602036,-73.93350983,40.6832695,-73.97920227
00:11.0,10:37.0,40.75725555,-73.98610687,40.78489685,-73.978302
00:11.0,01:28.0,40.72180176,-73.98456573,40.72146225,-73.98384094
00:11.0,08:34.0,40.76314163,-73.97798157,40.75464249,-73.96389008
00:12.0,14:02.0,40.7287178,-73.98438263,40.75948334,-73.98829651
00:12.0,10:11.0,40.73335648,-74.00509644,40.72694016,-73.99167633
00:12.0,12:40.0,40.73944473,-74.00561523,40.77727127,-73.9825592
00:12.0,10:46.0,40.7715416,-73.98218536,40.7587738,-73.96915436
00:12.0,09:59.0,40.73440552,-74.00610352,40.76580811,-73.9884491
00:12.0,28:06.0,40.73722458,-74.00518036,40.68829727,-73.99835968
00:12.0,10:15.0,40.72003555,-73.98740387,40.70907211,-74.00543213
