vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
CMT,5/12/11 19:49,5/12/11 20:02,1,1.9,-74.00739,40.7266,1,N,-73.97929,40.727691,CRD,8.9,0.5,0.5,1.98,0,11.88
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:49,5/15/11 12:56,1,1.46,-74.001385,40.756717,1,,-73.995805,40.744275,CSH,6.5,0,0.5,0,0,7
,,,,,,,,,,,,,,,,,
CMT,5/13/11 4:11,5/13/11 4:20,1,2.4,-74.005103,40.741065,1,N,-73.97878,40.761483,CRD,8.5,0.5,0.5,1,0,10.5
,,,,,,,,,,,,,,,,,
CMT,5/13/11 3:56,5/13/11 4:02,1,1.4,-73.999223,40.728447,1,N,-73.983702,40.738031,CRD,6.1,0.5,0.5,1,0,8.1
,,,,,,,,,,,,,,,,,
CMT,5/12/11 19:55,5/12/11 20:02,1,1.3,-73.988026,40.744376,1,N,-73.988017,40.729489,CRD,6.1,0.5,0.5,1.42,0,8.52
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:20,5/15/11 12:50,1,10.97,-73.874678,40.77405,1,,-73.94554,40.663693,CSH,26.9,0,0.5,0,0,27.4
,,,,,,,,,,,,,,,,,
VTS,5/15/11 13:02,5/15/11 13:08,2,0.93,-73.987063,40.760703,1,,-73.991285,40.750223,CSH,4.9,0,0.5,0,0,5.4
,,,,,,,,,,,,,,,,,
CMT,5/14/11 15:04,5/14/11 15:24,1,2.4,-73.9906,40.733215,1,N,-73.98953,40.75673,CRD,11.7,0,0.5,2.44,0,14.64
,,,,,,,,,,,,,,,,,
CMT,5/13/11 4:33,5/13/11 4:49,1,9.3,-73.967268,40.760007,1,N,-73.861521,40.76829,CRD,21.3,0.5,0.5,4.46,0,26.76
,,,,,,,,,,,,,,,,,
CMT,5/13/11 4:57,5/13/11 5:09,1,3.9,-73.908167,40.753233,1,N,-73.972636,40.759137,CRD,11.3,0.5,0.5,3.07,0,15.37
,,,,,,,,,,,,,,,,,
CMT,5/12/11 19:47,5/12/11 19:59,2,3.1,-73.872805,40.774115,1,N,-73.910375,40.77636,CRD,10.1,1,0.5,2.32,0,13.92
,,,,,,,,,,,,,,,,,
CMT,5/13/11 23:29,5/13/11 23:38,4,1.8,-73.991515,40.743937,1,N,-73.988825,40.763848,CRD,7.3,0.5,0.5,2.07,0,10.37
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:46,5/15/11 13:04,5,3.47,-73.990388,40.756418,1,,-74.005603,40.715393,CSH,11.3,0,0.5,0,0,11.8
,,,,,,,,,,,,,,,,,
CMT,5/12/11 19:48,5/12/11 20:16,1,11.8,-73.885341,40.773093,1,N,-74.007077,40.70702,CRD,28.5,1,0.5,8.7,4.8,43.5
,,,,,,,,,,,,,,,,,
CMT,5/13/11 23:23,5/14/11 0:00,1,7.2,-73.97983,40.765423,1,N,-74.00023,40.686258,CRD,23.7,0.5,0.5,4.95,0,29.65
,,,,,,,,,,,,,,,,,
VTS,5/15/11 19:59,5/15/11 20:05,2,1.01,-73.976182,40.777805,1,,-73.979163,40.767953,CSH,5.3,0,0.5,0,0,5.8
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:38,5/15/11 12:47,2,1.62,-73.972013,40.754748,1,,-73.990465,40.750807,CSH,7.3,0,0.5,0,0,7.8
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:54,5/15/11 13:03,5,2.6,-73.980533,40.762488,1,,-73.995918,40.741092,CRD,8.5,0,0.5,1.8,0,10.8
,,,,,,,,,,,,,,,,,
CMT,5/14/11 15:13,5/14/11 15:27,1,1.5,-73.95654,40.771206,1,N,-73.965951,40.755436,CRD,9.3,0,0.5,1,0,10.8
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:49,5/15/11 12:58,2,1.82,-73.990315,40.756565,1,,-73.978913,40.778355,CRD,7.3,0,0.5,2,0,9.8
,,,,,,,,,,,,,,,,,
CMT,5/14/11 14:51,5/14/11 14:54,2,0.4,-73.966141,40.79478,1,N,-73.971726,40.79505,CRD,3.7,0,0.5,1,0,5.2
,,,,,,,,,,,,,,,,,
CMT,5/13/11 23:33,5/13/11 23:43,0,2.5,-73.999318,40.752162,1,N,-73.969313,40.767527,CRD,8.5,0.5,0.5,1.5,0,11
,,,,,,,,,,,,,,,,,
CMT,5/12/11 16:04,5/12/11 16:33,1,9.6,-73.981226,40.753683,1,N,-73.861689,40.768188,CRD,24.5,1,0.5,6.16,4.8,36.96
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:57,5/15/11 13:00,5,1.16,-73.961292,40.768555,1,,-73.952803,40.782442,CSH,4.9,0,0.5,0,0,5.4
,,,,,,,,,,,,,,,,,
CMT,5/13/11 20:45,5/13/11 20:53,1,1.5,-73.981217,40.75234,1,N,-73.979286,40.745089,CRD,6.5,0.5,0.5,1.5,0,9
,,,,,,,,,,,,,,,,,
CMT,5/13/11 20:45,5/13/11 21:04,1,4.2,-73.998742,40.73727,1,N,-73.959244,40.779271,CRD,13.3,0.5,0.5,0.5,0,14.8
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:55,5/15/11 13:00,2,1,-73.97622,40.75156,1,,-73.990572,40.751073,CSH,4.9,0,0.5,0,0,5.4
,,,,,,,,,,,,,,,,,
CMT,5/12/11 16:03,5/12/11 16:16,1,1.6,-74.002122,40.750779,1,N,-74.008342,40.734774,CRD,8.5,0,0.5,1.8,0,10.8
,,,,,,,,,,,,,,,,,
CMT,5/12/11 19:54,5/12/11 20:06,2,1.5,-73.993324,40.724461,1,N,-74.005722,40.740236,CRD,8.1,1,0.5,1.92,0,11.52
,,,,,,,,,,,,,,,,,
VTS,5/15/11 21:51,5/15/11 22:08,1,9.67,-73.870888,40.773743,1,,-73.83241,40.67743,CSH,22.5,0.5,0.5,0,0,23.5
,,,,,,,,,,,,,,,,,
VTS,5/15/11 11:24,5/15/11 11:56,5,11.25,-73.988767,40.757603,1,,-73.861522,40.768158,CSH,29.3,0,0.5,0,4.8,34.6
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:52,5/15/11 12:55,4,0.51,-73.981368,40.781097,1,,-73.977328,40.782802,CRD,3.7,0,0.5,2,0,6.2
,,,,,,,,,,,,,,,,,
VTS,5/15/11 21:56,5/15/11 22:16,1,4.34,-73.945415,40.777817,1,,-73.998948,40.76101,CRD,14.1,0.5,0.5,1.5,0,16.6
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:37,5/15/11 12:55,4,2.71,-73.963553,40.762003,1,,-73.982432,40.784968,CRD,11.3,0,0.5,2,0,13.8
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:51,5/15/11 12:59,2,1.74,-73.984935,40.756097,1,,-73.987368,40.73855,CRD,7.3,0,0.5,1,0,8.8
,,,,,,,,,,,,,,,,,
CMT,5/14/11 14:59,5/14/11 15:10,1,2.1,-73.979127,40.729937,1,N,-74.004685,40.746913,CRD,8.9,0,0.5,1.6,0,11
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:49,5/15/11 13:00,2,1.96,-73.973087,40.785447,1,,-73.973332,40.76437,CSH,8.5,0,0.5,0,0,9
,,,,,,,,,,,,,,,,,
CMT,5/13/11 23:34,5/13/11 23:37,1,0.8,-73.973755,40.747642,1,N,-73.981999,40.740129,CRD,4.1,0.5,0.5,1.02,0,6.12
,,,,,,,,,,,,,,,,,
CMT,5/13/11 20:55,5/13/11 21:20,1,19.9,-73.77673,40.645223,1,N,-74.037288,40.614418,CRD,42.5,0.5,0.5,8.7,0,52.2
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:30,5/13/11 0:35,1,1,-73.985521,40.727759,1,N,-73.983071,40.738633,CRD,5.3,0.5,0.5,1.26,0,7.56
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:36,5/13/11 0:40,1,0.5,-73.963375,40.775151,1,N,-73.961791,40.771196,CRD,4.1,0.5,0.5,1,0,6.1
,,,,,,,,,,,,,,,,,
CMT,5/13/11 21:06,5/13/11 21:24,1,3.4,-73.968558,40.754897,1,N,-74.00369,40.722585,CRD,12.5,0.5,0.5,1.25,0,14.75
,,,,,,,,,,,,,,,,,
CMT,5/13/11 20:55,5/13/11 21:05,1,2.1,-73.974571,40.790975,1,N,-73.946907,40.776114,CRD,8.1,0.5,0.5,1.82,0,10.92
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:30,5/13/11 0:44,2,2.9,-73.989321,40.735171,1,N,-73.989871,40.76724,CRD,10.5,0.5,0.5,1,0,12.5
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:22,5/13/11 0:34,3,2,-73.967087,40.757273,1,N,-73.997523,40.76108,CRD,8.5,0.5,0.5,1,0,10.5
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:33,5/13/11 0:58,1,13.8,-74.008726,40.711601,1,N,-73.923969,40.866667,CRD,31.7,0.5,0.5,6.54,0,39.24
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:21,5/13/11 0:50,1,6.5,-73.989004,40.763643,1,N,-73.995962,40.693263,CRD,20.5,0.5,0.5,5.37,0,26.87
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:43,5/13/11 0:56,1,5.1,-74.001447,40.736263,1,N,-73.950699,40.784099,CRD,13.3,0.5,0.5,2.86,0,17.16
,,,,,,,,,,,,,,,,,
CMT,5/13/11 21:03,5/13/11 21:11,0,0,-74.00056116,40.72219754,0,N,0,0,CRD,10.3,0,0,0,0,10.3
,,,,,,,,,,,,,,,,,
CMT,5/13/11 20:58,5/13/11 21:03,1,1,-73.968501,40.764923,1,N,-73.975528,40.75275,CRD,5.3,0.5,0.5,1.26,0,7.56
,,,,,,,,,,,,,,,,,
CMT,5/13/11 21:01,5/13/11 21:11,1,2.6,-73.98653,40.736985,1,N,-73.961996,40.767846,CRD,8.9,0.5,0.5,1,0,10.9
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:20,5/13/11 0:35,1,0,-73.98776927,40.74759801,1,N,-73.98741394,39.60364408,CRD,9.3,0.5,0.5,2.55,0,12.85
,,,,,,,,,,,,,,,,,
CMT,5/13/11 0:32,5/13/11 0:56,1,5.6,-73.985265,40.758485,1,N,-73.91664,40.770132,CRD,17.3,0.5,0.5,0,0,18.3
,,,,,,,,,,,,,,,,,
CMT,5/13/11 20:56,5/13/11 21:08,1,2.4,-73.974982,40.747491,1,N,-74.000831,40.730134,CRD,8.5,0.5,0.5,1,0,10.5
,,,,,,,,,,,,,,,,,
